txn_ref,sender_upi_id,receiver_upi_id,amount,currency,device_id,transaction_type,status,true_label,scenario,created_at
TXN00002649,pateldayal5394@oksbi,omisha1821@cnrb,1002.67,INR,dev-888392080786,P2P,completed,,,2026-07-16 08:32:44.000000
TXN00035112,pateldayal5394@oksbi,manndhaliwal4474@okaxis,383.93,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 08:35:19.000000
TXN00003366,omya3584@cnrb,isaiah4058@okaxis,122.71,INR,dev-3ad7226dca64,P2P,completed,,,2026-07-16 08:36:33.000000
TXN00024238,oni4102@okhdfcbank,pateldayal5394@oksbi,781.23,INR,dev-436324b59541,P2M,completed,,,2026-07-16 08:37:10.000000
TXN00009142,max2394@idfcfirst,mallickatwal1974@kotak,169.66,INR,dev-c6e5dd043dce,P2M,completed,,,2026-07-16 08:37:11.000000
TXN00001269,ishwar5785@barodampay,dhingrabains3427@okhdfcbank,615.45,INR,dev-e9d8f1c8e3a4,P2M,completed,,,2026-07-16 08:42:08.000000
TXN00015759,mohammed385@okhdfcbank,pateldayal5394@oksbi,1159.75,INR,dev-e32cf680d3cf,P2M,completed,,,2026-07-16 08:42:24.000000
TXN00010761,babumittal3191@barodampay,zansi2399@kotak,283.59,INR,dev-59a7828bbc8e,P2P,completed,,,2026-07-16 08:43:35.000000
TXN00024831,gaurang1151@cnrb,rattasaini4845@okhdfcbank,364.14,INR,dev-00c52331487d,P2M,completed,,,2026-07-16 08:44:37.000000
TXN00014044,oni5141@cnrb,pateldayal5394@oksbi,572.28,INR,dev-d58156f67574,P2M,completed,,,2026-07-16 08:45:03.000000
TXN00020712,pateldayal5394@oksbi,dani5816@kotak,154.15,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 08:45:11.000000
TXN00041173,pateldayal5394@oksbi,oakgour227@kotak,417.92,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 08:47:22.000000
TXN00023416,kannanlall1510@okicici,pateldayal5394@oksbi,456.58,INR,dev-5282a247889d,P2M,pending,,,2026-07-16 08:50:02.000000
TXN00031670,aahana3145@barodampay,pateldayal5394@oksbi,507.95,INR,dev-c7e90325a5f1,P2M,completed,,,2026-07-16 08:50:31.000000
TXN00044476,sant989@cnrb,shetty4843@barodampay,1176.51,INR,dev-bb0b2b50094e,P2M,completed,,,2026-07-16 08:50:33.000000
TXN00020525,oakgour227@kotak,nathan3963@cnrb,293.74,INR,dev-8b258a98258b,P2P,completed,,,2026-07-16 08:53:05.000000
TXN00042116,pateldayal5394@oksbi,ishwar5785@barodampay,392.92,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 09:01:14.000000
TXN00014096,pateldayal5394@oksbi,tamanna1717@okicici,146.15,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 09:02:08.000000
TXN00016753,yamini4610@pnb,ishwar5785@barodampay,499.84,INR,dev-40f88c7cb299,P2P,completed,,,2026-07-16 09:03:07.000000
TXN00033364,biswas1417@okicici,pateldayal5394@oksbi,467.35,INR,dev-af68cc6b8700,P2M,completed,,,2026-07-16 09:04:35.000000
TXN00026692,sunderbath5841@okicici,oommen4038@okicici,1120.15,INR,dev-bb7b81ff5c74,P2M,completed,,,2026-07-16 09:05:27.000000
TXN00043791,zashil1892@kotak,hemang1581@pnb,706.82,INR,dev-9a41ce464897,P2P,completed,,,2026-07-16 09:08:54.000000
TXN00001649,zaitra2632@okhdfcbank,chowdhury4667@barodampay,583.62,INR,dev-532388813b6a,P2M,completed,,,2026-07-16 09:09:51.000000
TXN00015842,neha5568@idfcfirst,sant989@cnrb,10278.33,INR,dev-e09ae4360ccf,P2M,completed,,,2026-07-16 09:10:50.000000
TXN00027680,riya139@pnb,pateldayal5394@oksbi,952.98,INR,dev-5f5794cbeaaf,P2M,completed,,,2026-07-16 09:13:04.000000
TXN00024423,bala174@okicici,harshil3054@okaxis,1380.02,INR,dev-9d8cdab6a725,P2P,completed,,,2026-07-16 09:13:12.000000
TXN00043291,dhriti2884@okhdfcbank,chakradhar1765@oksbi,275.71,INR,dev-69c5d95dede6,P2P,completed,,,2026-07-16 09:13:24.000000
TXN00032892,pateldayal5394@oksbi,cherian1580@okhdfcbank,695.16,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 09:13:27.000000
TXN00024448,charan3216@cnrb,pateldayal5394@oksbi,982.65,INR,dev-c54775438fce,P2M,completed,,,2026-07-16 09:15:04.000000
TXN00039896,pranav5861@pnb,savantmanda5271@ybl,328.13,INR,dev-506dd96c28c7,P2M,completed,,,2026-07-16 09:16:22.000000
TXN00041350,ganesan5743@kotak,pateldayal5394@oksbi,568.37,INR,dev-1242ac6a3c0c,P2M,completed,,,2026-07-16 09:17:33.000000
TXN00008754,mitesh273@okicici,pateldayal5394@oksbi,1336.55,INR,dev-adb71d9619ef,P2M,completed,,,2026-07-16 09:18:27.000000
TXN00026832,warinder651@okhdfcbank,pai809@pnb,720.02,INR,dev-3b5689f26eff,P2M,completed,,,2026-07-16 09:18:28.000000
TXN00033161,tejas3187@okhdfcbank,pateldayal5394@oksbi,587.92,INR,dev-62c7f99bbdfd,P2M,completed,,,2026-07-16 09:21:44.000000
TXN00000770,dubesampath798@kotak,nikita4594@pnb,150.11,INR,dev-d50a9f2b2466,P2P,completed,,,2026-07-16 09:22:36.000000
TXN00031169,pateldayal5394@oksbi,urvi601@oksbi,304.97,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 09:23:12.000000
TXN00015122,pateldayal5394@oksbi,chawla4984@barodampay,1841.17,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 09:25:52.000000
TXN00017749,singhal4413@okaxis,guhajaggi3118@cnrb,650.61,INR,dev-da9870d1ca12,P2M,completed,,,2026-07-16 09:31:06.000000
TXN00027288,jeet5131@ybl,yashodhara4007@barodampay,839.7,INR,dev-717d0d507dd1,P2P,completed,,,2026-07-16 09:31:08.000000
TXN00033640,widisha512@okhdfcbank,subramanian733@oksbi,598.16,INR,dev-46541c3bdfe1,P2M,completed,,,2026-07-16 09:32:01.000000
TXN00038439,pateldayal5394@oksbi,regesengupta3601@okaxis,206.29,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 09:38:27.000000
TXN00016406,pateldayal5394@oksbi,xavier5959@kotak,384.53,INR,dev-4e4d28466fd2,P2P,completed,,,2026-07-16 09:38:50.000000
TXN00044945,pateldayal5394@oksbi,darika5537@barodampay,172.11,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 09:41:49.000000
TXN00029497,wahab3912@ybl,pateldayal5394@oksbi,4060.83,INR,dev-f49d84ac6ee0,P2M,completed,,,2026-07-16 09:45:28.000000
TXN00032334,pateldayal5394@oksbi,narain4517@ybl,705.74,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 09:49:29.000000
TXN00030863,qarin2237@pnb,pateldayal5394@oksbi,523.04,INR,dev-2f4018dd7ca6,P2M,completed,,,2026-07-16 09:49:53.000000
TXN00023142,urmi627@okaxis,randhawadubey4527@okaxis,1200.43,INR,dev-994a3c910451,P2M,completed,,,2026-07-16 09:50:07.000000
TXN00020962,ekiya1586@ybl,hemang3200@oksbi,215.32,INR,dev-4c102b37094e,P2P,completed,,,2026-07-16 09:50:29.000000
TXN00018396,sood81@okicici,pateldayal5394@oksbi,375.47,INR,dev-37e4ee2ffc8f,P2M,completed,,,2026-07-16 09:52:30.000000
TXN00015960,bahadurjit1411@okaxis,borraparmer2619@okhdfcbank,529.36,INR,dev-f8d55745edcf,P2M,completed,,,2026-07-16 09:52:51.000000
TXN00044023,dhillon3181@ybl,sunderbath5841@okicici,81.98,INR,dev-cec6a39df546,P2M,completed,,,2026-07-16 09:54:18.000000
TXN00041883,ubika4802@kotak,pateldayal5394@oksbi,906.84,INR,dev-cedd740b7de8,P2M,completed,,,2026-07-16 09:55:06.000000
TXN00039524,bhavna4435@pnb,vohra4968@ybl,811.22,INR,dev-1b29ba79d45d,P2M,completed,,,2026-07-16 09:55:23.000000
TXN00008756,ekta2302@idfcfirst,pateldayal5394@oksbi,927.88,INR,dev-4ea56b9a2ed3,P2M,completed,,,2026-07-16 09:56:00.000000
TXN00015920,pateldayal5394@oksbi,kharecomar2200@okhdfcbank,139.55,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 09:56:08.000000
TXN00050521,oni86@okaxis,orinder1086@okhdfcbank,655.25,INR,dev-07902f4285e3,P2P,completed,,innocent_bystander,2026-07-16 09:56:21.000000
TXN00029951,chatresh2460@okicici,bala174@okicici,778.71,INR,dev-d6880fbab2d9,P2M,completed,,,2026-07-16 09:56:50.000000
TXN00034939,pantkothari3391@okhdfcbank,pateldayal5394@oksbi,266.7,INR,dev-1780e2537738,P2M,completed,,,2026-07-16 09:58:26.000000
TXN00004760,pateldayal5394@oksbi,lala104@okhdfcbank,752.8,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 09:59:08.000000
TXN00031240,charan4803@barodampay,pateldayal5394@oksbi,843.18,INR,dev-cc639c0dd81b,P2M,completed,,,2026-07-16 10:00:57.000000
TXN00015219,yutika2172@oksbi,dave3965@oksbi,527.56,INR,dev-9a3bc2da8acf,P2M,completed,,,2026-07-16 10:01:31.000000
TXN00030842,meera5380@cnrb,pateldayal5394@oksbi,732.11,INR,dev-eeae60f8c3ea,P2M,completed,,,2026-07-16 10:01:53.000000
TXN00031024,pateldayal5394@oksbi,kapurbail2247@cnrb,613.79,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:02:41.000000
TXN00014611,turvi4126@ybl,pateldayal5394@oksbi,1946.31,INR,dev-691a11274c0f,P2M,completed,,,2026-07-16 10:04:15.000000
TXN00018122,hitesh5951@ybl,kalita5988@okhdfcbank,861.2,INR,dev-8743134c38df,P2M,completed,,,2026-07-16 10:06:03.000000
TXN00006893,pateldayal5394@oksbi,ishaan2377@okicici,202.87,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 10:07:30.000000
TXN00024552,ishwar1771@okicici,pateldayal5394@oksbi,1282.72,INR,dev-d83cfa36386b,P2M,failed,,,2026-07-16 10:09:00.000000
TXN00040846,pateldayal5394@oksbi,ahujakorpal2390@pnb,3627.24,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:10:26.000000
TXN00022000,pateldayal5394@oksbi,dora4383@oksbi,266.35,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:12:39.000000
TXN00000716,regedayal3148@kotak,pateldayal5394@oksbi,1527.21,INR,dev-2c07642bcfcc,P2M,completed,,,2026-07-16 10:14:08.000000
TXN00041467,nidhi4788@kotak,gera442@oksbi,1012.7,INR,dev-3483ee91cf74,P2M,completed,,,2026-07-16 10:15:42.000000
TXN00009709,nihal1509@barodampay,rama339@oksbi,385.11,INR,dev-9925553c707c,P2M,completed,,,2026-07-16 10:16:57.000000
TXN00017288,pateldayal5394@oksbi,lila4949@barodampay,3321.24,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 10:17:31.000000
TXN00002146,pateldayal5394@oksbi,natarajan4596@oksbi,527.73,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:17:38.000000
TXN00002550,oni5141@cnrb,tanvi1237@ybl,301.08,INR,dev-d58156f67574,P2P,completed,,,2026-07-16 10:19:54.000000
TXN00021893,pateldayal5394@oksbi,dhingrabains3427@okhdfcbank,644.09,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:24:01.000000
TXN00027655,pateldayal5394@oksbi,wakeeta1185@pnb,1850.93,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 10:24:36.000000
TXN00019954,sankaran1816@idfcfirst,pateldayal5394@oksbi,3416.44,INR,dev-5d57695a40a1,P2M,completed,,,2026-07-16 10:24:49.000000
TXN00015157,pateldayal5394@oksbi,khanna463@cnrb,143.25,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:28:04.000000
TXN00001136,pateldayal5394@oksbi,farhan3225@ybl,182.59,INR,dev-0ec459347c36,P2P,completed,,,2026-07-16 10:28:35.000000
TXN00030498,pateldayal5394@oksbi,dayita421@barodampay,969.33,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 10:29:06.000000
TXN00012593,pateldayal5394@oksbi,guha265@ybl,555.64,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:29:19.000000
TXN00028742,pateldayal5394@oksbi,chaitaly2689@barodampay,360.8,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 10:31:14.000000
TXN00043091,pratyush4072@okaxis,pateldayal5394@oksbi,1984.38,INR,dev-4740bc7d100d,P2M,completed,,,2026-07-16 10:35:21.000000
TXN00027888,pateldayal5394@oksbi,kothari976@ybl,213.37,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:35:51.000000
TXN00005225,advika87@okhdfcbank,sekhonmutti1219@okaxis,492.49,INR,dev-9729f8aa7af8,P2M,completed,,,2026-07-16 10:39:15.000000
TXN00023492,utkarsh4799@idfcfirst,pateldayal5394@oksbi,1110.49,INR,dev-af86ede6e094,P2M,completed,,,2026-07-16 10:40:33.000000
TXN00029998,pateldayal5394@oksbi,chatresh2460@okicici,1189.94,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 10:42:29.000000
TXN00001308,pateldayal5394@oksbi,daratella4935@okicici,599.3,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:43:25.000000
TXN00004470,jeremiah3497@idfcfirst,ravel211@ybl,1013.99,INR,dev-35860f9a2096,P2M,completed,,,2026-07-16 10:52:45.000000
TXN00018523,pateldayal5394@oksbi,savantkota1531@okicici,154.19,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:53:24.000000
TXN00031366,kiaan4999@pnb,tanveer4577@pnb,297.96,INR,dev-465d2ac6a394,P2P,completed,,,2026-07-16 10:53:43.000000
TXN00022019,pateldayal5394@oksbi,mittermaharaj432@pnb,165.25,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 10:58:16.000000
TXN00018735,yuvraj2323@ybl,pateldayal5394@oksbi,4586.85,INR,dev-4bc1ff7a2105,P2M,completed,,,2026-07-16 10:58:58.000000
TXN00018592,pateldayal5394@oksbi,ishwar4994@ybl,2389.51,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 10:58:59.000000
TXN00019126,oscar3767@okaxis,chakrabarti3641@okaxis,37.2,INR,dev-b82bb7cc2a85,P2M,completed,,,2026-07-16 10:59:26.000000
TXN00032868,tanvi1237@ybl,chowdhury4667@barodampay,923.85,INR,dev-474d4bb9a612,P2M,completed,,,2026-07-16 10:59:34.000000
TXN00032352,pateldayal5394@oksbi,wazir2213@oksbi,880.98,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 11:01:30.000000
TXN00027972,pateldayal5394@oksbi,bajwa4614@okicici,3336.9,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 11:01:46.000000
TXN00022331,yuvraj4783@kotak,loke1255@idfcfirst,362.56,INR,dev-ebb63e62f774,P2M,completed,,,2026-07-16 11:02:06.000000
TXN00038132,anita3259@idfcfirst,daratella4935@okicici,1760.56,INR,dev-60f292bcab5f,P2M,completed,,,2026-07-16 11:03:20.000000
TXN00034475,chahal5435@ybl,pateldayal5394@oksbi,1257.49,INR,dev-589ef31f4242,P2M,completed,,,2026-07-16 11:04:16.000000
TXN00006193,ganga5892@barodampay,pateldayal5394@oksbi,1599.57,INR,dev-383073497b7c,P2M,completed,,,2026-07-16 11:06:33.000000
