upi_id,account_number,ifsc_code,owner_name,bank_name,account_type,device_id,true_label,is_active,created_at
dewankoshy29@idfcfirst,505971991,IDFB0800884,Dewan-Koshy Fashion,IDFC First Bank,merchant,dev-bf9c1e68398b,,True,2025-06-13
priya30@idfcfirst,50056111505446,IDFB0522631,Priya Rastogi,IDFC First Bank,individual,dev-11be4dbab87b,,True,2026-05-18
theodore31@okicici,171704674972673,ICIC0738231,Theodore Devi,ICICI Bank,individual,dev-9c59fbe5dc66,,True,2025-05-04
gavin32@cnrb,91095473171,CNRB0552993,Gavin Batta,Canara Bank,individual,dev-95fff5f2c3de,,True,2025-02-19
michael33@okhdfcbank,789412886,HDFC0122740,Michael Dutta,HDFC Bank,individual,dev-5542361fd77c,,True,2024-09-01
sami34@pnb,294340359775,PUNB0110588,"Sami, Bhatt and Rajan Grocery",Punjab National Bank,merchant,dev-dec11364d0a9,,True,2024-11-25
upadhriti35@cnrb,90616606880224,CNRB0143021,Upadhriti Wadhwa,Canara Bank,individual,dev-2a76b6da8543,innocent_bystander,True,2026-01-19
advay36@okicici,010869892,ICIC0287799,Advay Contractor,ICICI Bank,individual,dev-a1db72d978a3,,True,2025-07-05
harini37@oksbi,884042116557560,SBIN0851131,Harini Choudhury,State Bank of India,individual,dev-e44be372e609,,True,2023-11-25
radhika38@oksbi,9765006002847,SBIN0411562,Radhika Dugar,State Bank of India,individual,dev-461b522c201d,,True,2024-05-08
aarush39@oksbi,268541295345,SBIN0537547,Aarush Lall,State Bank of India,individual,dev-2c8424b39909,innocent_bystander,True,2025-04-25
gokhale40@barodampay,4119192036476469,BARB0411810,"Gokhale, Tripathi and Cherian Pharmacy",Bank of Baroda,merchant,dev-fa1548278602,,True,2025-01-24
yashica41@barodampay,44412053557,BARB0547035,Yashica Issac,Bank of Baroda,individual,dev-a4f3dfa52278,,True,2024-06-28
kashvi42@barodampay,5653958758198,BARB0503632,Kashvi Edwin,Bank of Baroda,individual,dev-3a93bfbbfabf,,True,2024-07-26
ekiya43@pnb,100888002,PUNB0565295,Ekiya Suresh,Punjab National Bank,individual,dev-dc8b89551ebd,innocent_bystander,True,2026-01-19
isaac44@okhdfcbank,784371266,HDFC0119672,Isaac Patil,HDFC Bank,individual,dev-fc9d2082f15a,innocent_bystander,True,2026-04-01
wriddhish45@kotak,617739630627541,KKBK0711505,Wriddhish Bhardwaj,Kotak Mahindra Bank,individual,dev-5bdf782a5de8,,True,2025-11-09
farhan46@ybl,548330870444913,YESB0180926,Farhan Chada,Yes Bank,individual,dev-9e537c3e67f1,innocent_bystander,True,2024-02-21
ekapad47@okhdfcbank,5740022888656467,HDFC0762903,Ekapad Walia,HDFC Bank,individual,dev-06fc239d8c32,innocent_bystander,True,2024-06-01
kabir48@ybl,45768354935,YESB0120166,Kabir Soman,Yes Bank,individual,dev-9293abd99a1b,,True,2024-07-21
alka49@okaxis,996631033,UTIB0191603,Alka Wable,Axis Bank,individual,dev-1ec558420bcf,,True,2025-02-02
siddharth50@kotak,0421756798684,KKBK0984766,Siddharth Zacharia,Kotak Mahindra Bank,individual,dev-943eedc28a4a,,True,2024-06-18
devika51@idfcfirst,015784659649191,IDFB0288228,Devika Rastogi,IDFC First Bank,individual,dev-c7dc4bd2ea44,,True,2025-05-30
raksha52@oksbi,7948984392407,SBIN0649837,Raksha Varughese,State Bank of India,individual,dev-40b7b6156e47,,True,2023-11-29
jai53@pnb,039031967767087,PUNB0739431,Jai Kota,Punjab National Bank,individual,dev-9f42b864b0eb,,True,2024-11-15
devansh54@okhdfcbank,095265074686,HDFC0671612,Devansh Nigam,HDFC Bank,individual,dev-48c13041b22d,,True,2025-05-28
victor55@cnrb,54312588160634,CNRB0717639,Victor Kannan,Canara Bank,individual,dev-7e7cc56c75d6,,True,2026-02-06
ekavir56@cnrb,519877503,CNRB0495801,Ekavir Bhargava,Canara Bank,individual,dev-010551eab192,,True,2024-10-06
ekansh57@kotak,503496834,KKBK0420381,Ekansh Balay,Kotak Mahindra Bank,individual,dev-e74b2ce328bd,,True,2023-10-15
ekavir58@idfcfirst,253893597256,IDFB0653439,Ekavir Varkey,IDFC First Bank,individual,dev-a61567062662,,True,2024-05-23
arya59@okhdfcbank,205275764,HDFC0860967,Arya Sunder,HDFC Bank,individual,dev-bcffeb795ee8,,True,2024-01-03
kevin60@idfcfirst,4115314639759410,IDFB0938023,Kevin Solanki,IDFC First Bank,individual,dev-78c8b3f53481,,True,2025-07-22
urvashi61@okhdfcbank,257300816,HDFC0384504,Urvashi Ray,HDFC Bank,individual,dev-ce5c0bc7e4ca,,True,2025-04-04
girindra62@idfcfirst,4102148101,IDFB0508167,Girindra Chatterjee,IDFC First Bank,individual,dev-61cb5b46e500,,True,2024-06-12
irya63@pnb,2235294863273,PUNB0246867,Irya Sampath,Punjab National Bank,individual,dev-b1af2deef7a1,,True,2025-11-18
unni64@oksbi,3109009180,SBIN0153556,Unni Bhagat,State Bank of India,individual,dev-7936521cdca3,,True,2024-02-11
darsh65@barodampay,4028564187982,BARB0254263,Darsh Rau,Bank of Baroda,individual,dev-23059c3f0b10,,True,2024-03-25
ikbal66@idfcfirst,81357162254638,IDFB0078108,Ikbal Kothari,IDFC First Bank,individual,dev-7020a4dc6140,gambling_network,True,2026-06-30
gupta67@cnrb,37831815217166,CNRB0060228,Gupta PLC Electronics,Canara Bank,merchant,dev-c70d462c3868,,True,2025-07-08
deysami68@pnb,158084516127,PUNB0050519,Dey-Sami Travel,Punjab National Bank,merchant,dev-917d7a723395,,True,2023-08-04
arya69@idfcfirst,512888266,IDFB0185247,Arya Shere,IDFC First Bank,individual,dev-3ddab48dc136,,True,2026-01-18
faqid70@okaxis,7914959007354,UTIB0407961,Faqid Savant,Axis Bank,individual,dev-216381f0a419,,True,2025-10-30
chandresh71@okhdfcbank,92161989922,HDFC0342639,Chandresh Zachariah,HDFC Bank,individual,dev-fade4478cc65,,True,2025-08-03
girik72@cnrb,6757954179688,CNRB0798097,Girik Khalsa,Canara Bank,individual,dev-05c7bc805996,,True,2024-10-11
niharika73@kotak,3879863633655340,KKBK0601774,Niharika Sunder,Kotak Mahindra Bank,individual,dev-19a766934727,,True,2023-08-11
tanay74@okaxis,131360309721047,UTIB0584210,Tanay Rattan,Axis Bank,individual,dev-25948be1fa6f,,True,2024-09-02
nitesh75@okicici,4210040926648,ICIC0110692,Nitesh Raghavan,ICICI Bank,individual,dev-107fe93b2caa,,True,2024-12-22
madhavi76@okaxis,969395041,UTIB0941279,Madhavi Lanka,Axis Bank,individual,dev-ad84f14d36a9,account_takeover,True,2026-03-03
bhavika77@pnb,5102411835577,PUNB0296032,Bhavika Sampath,Punjab National Bank,individual,dev-877510d9ae69,,True,2025-10-08
mohammed78@oksbi,9412871321861,SBIN0650695,Mohammed Gupta,State Bank of India,individual,dev-8396df692bf0,,True,2025-11-09
teerth79@kotak,735572322109080,KKBK0777358,Teerth Bhardwaj,Kotak Mahindra Bank,individual,dev-4b4b12542877,innocent_bystander,True,2023-12-10
dipta80@okaxis,13119048911,UTIB0372596,Dipta Bhandari,Axis Bank,individual,dev-3f3eee8d9df3,,True,2025-02-24
sood81@okicici,396049455,ICIC0660447,Sood PLC Fuel,ICICI Bank,merchant,dev-37e4ee2ffc8f,,True,2023-11-24
dakshesh82@idfcfirst,896350930766,IDFB0054096,Dakshesh Trivedi,IDFC First Bank,individual,dev-1ef536c04a3c,innocent_bystander,True,2024-08-26
quincy83@cnrb,705922803471,CNRB0434058,Quincy Biswas,Canara Bank,individual,dev-1ee2fe26a879,innocent_bystander,True,2025-02-18
wahab84@barodampay,74366504695,BARB0342713,Wahab Raval,Bank of Baroda,individual,dev-0b74488e494e,,True,2025-06-25
yatin85@pnb,87729457613,PUNB0361185,Yatin Baral,Punjab National Bank,individual,dev-6cb191f2b5dc,innocent_bystander,True,2023-08-30
oni86@okaxis,5579341643644,UTIB0440050,Oni Virk,Axis Bank,individual,dev-07902f4285e3,innocent_bystander,True,2026-03-23
advika87@okhdfcbank,08381179872,HDFC0913210,Advika Jayaraman,HDFC Bank,individual,dev-9729f8aa7af8,,True,2025-07-04
murthy88@okhdfcbank,9729557795672360,HDFC0320491,"Murthy, Khare and Lanka Food & Dining",HDFC Bank,merchant,dev-7692ceb7da8c,,True,2024-05-22
karan89@pnb,89634198833857,PUNB0489824,Karan Mital,Punjab National Bank,individual,dev-a1625971e605,,True,2023-08-11
diya90@kotak,89907972714,KKBK0626227,Diya Bora,Kotak Mahindra Bank,individual,dev-0f0dda74894a,,True,2026-04-12
tara91@okicici,34226828513,ICIC0007507,Tara Chaudhry,ICICI Bank,individual,dev-8303070a169d,,True,2024-06-15
tanay92@okicici,1134921910446,ICIC0877734,Tanay Toor,ICICI Bank,individual,dev-ee95d2ee97c6,,True,2023-12-15
deopalla93@idfcfirst,826417851145,IDFB0552184,Deo-Palla Fashion,IDFC First Bank,merchant,dev-6a3c603ed935,,True,2025-11-29
yash94@oksbi,71933241420367,SBIN0353337,Yash Pingle,State Bank of India,individual,dev-dc08e152843b,gambling_network,True,2026-07-08
nakul95@idfcfirst,7781428215,IDFB0879068,Nakul Sarma,IDFC First Bank,individual,dev-775a6dea7ab2,,True,2024-10-15
abhiram96@okicici,0048700367,ICIC0823127,Abhiram Mistry,ICICI Bank,individual,dev-02bb9a57861a,,True,2023-09-29
krish97@okicici,800435752372,ICIC0504178,Krish Lalla,ICICI Bank,individual,dev-a33cee89896e,,True,2026-01-04
hredhaan98@kotak,79170311108036,KKBK0990388,Hredhaan Dugal,Kotak Mahindra Bank,individual,dev-f3708cdae846,,True,2024-03-13
baghyawati99@idfcfirst,9984162469227057,IDFB0550908,Baghyawati Kade,IDFC First Bank,individual,dev-00e04a62b9a6,,True,2024-09-19
oza100@pnb,6224271835137,PUNB0270696,"Oza, Jani and Lalla Grocery",Punjab National Bank,merchant,dev-dfd4dc21eb72,,True,2026-05-02
zayan101@barodampay,00258767188,BARB0095054,Zayan Behl,Bank of Baroda,individual,dev-52084f785552,,True,2025-07-27
sampath102@kotak,136028042145,KKBK0176138,Sampath LLC Fuel,Kotak Mahindra Bank,merchant,dev-604fea13322d,,True,2024-03-08
aarush103@okaxis,3329642880960,UTIB0753156,Aarush Nath,Axis Bank,individual,dev-98c27e1bb947,,True,2024-08-15
lala104@okhdfcbank,865194024,HDFC0062326,Lala and Sons Electronics,HDFC Bank,merchant,dev-7783ed52314d,,True,2026-02-05
prisha105@idfcfirst,3454299383,IDFB0794810,Prisha Andra,IDFC First Bank,individual,dev-665ab2953f0a,,True,2026-04-25
faqid106@okhdfcbank,055364448,HDFC0633149,Faqid Dixit,HDFC Bank,individual,dev-3339096143c2,,True,2026-06-27
kala107@cnrb,5342635339303503,CNRB0166062,Kala Divan,Canara Bank,individual,dev-597c2a8073fc,,True,2024-07-11
joshua108@cnrb,2589915169069,CNRB0847184,Joshua Barman,Canara Bank,individual,dev-29e179642ea0,,True,2025-03-24
patlabaral109@idfcfirst,5003718242440579,IDFB0330716,Patla-Baral Fashion,IDFC First Bank,merchant,dev-1b196ee10fa7,,True,2023-08-28
shivansh110@oksbi,714252909788,SBIN0187609,Shivansh Krish,State Bank of India,individual,dev-5a075cee5a41,,True,2024-05-08
irya111@okhdfcbank,4256976949314,HDFC0128766,Irya Ray,HDFC Bank,individual,dev-fe664f1ed5e2,,True,2023-11-04
warjas112@cnrb,00955446516,CNRB0668330,Warjas Gaba,Canara Bank,individual,dev-8af3141dd3a3,,True,2025-08-28
sachar113@pnb,4151431059142,PUNB0808969,Sachar Inc Pharmacy,Punjab National Bank,merchant,dev-dc0c376a8c66,,True,2026-06-04
gaurangi114@idfcfirst,41430253949,IDFB0660711,Gaurangi Sabharwal,IDFC First Bank,individual,dev-969a570a45fb,,True,2026-02-26
amara115@cnrb,789120089,CNRB0155757,Amara Dutta,Canara Bank,individual,dev-6411e0b8d915,innocent_bystander,True,2024-09-15
lavanya116@cnrb,0192371521910681,CNRB0707843,Lavanya Barad,Canara Bank,individual,dev-de45718a0d23,,True,2024-09-24
tristan117@okaxis,7353598294774448,UTIB0386341,Tristan Iyengar,Axis Bank,individual,dev-b90ba94706c1,,True,2026-05-15
pallamody118@cnrb,198600318229823,CNRB0515755,Palla-Mody Grocery,Canara Bank,merchant,dev-4b9e0daa984a,,True,2025-03-30
udant119@pnb,0111539256672588,PUNB0617788,Udant Bajwa,Punjab National Bank,individual,dev-9a59e2a63c12,,True,2023-09-08
mohini120@okhdfcbank,469833715416,HDFC0320734,Mohini Narasimhan,HDFC Bank,individual,dev-1e66832f5895,,True,2023-10-24
ekaraj121@ybl,1797181545505942,YESB0994814,Ekaraj Mallick,Yes Bank,individual,dev-6c915719e0e2,innocent_bystander,True,2024-03-23
yashodhara122@idfcfirst,2766059044,IDFB0896755,Yashodhara Ratta,IDFC First Bank,individual,dev-189768488660,,True,2023-09-28
ayaan123@cnrb,4461876334676997,CNRB0370912,Ayaan D’Alia,Canara Bank,individual,dev-47945c99a128,,True,2025-06-26
pranav124@oksbi,2573131361728,SBIN0732443,Pranav Lanka,State Bank of India,individual,dev-8b3ac845deb0,innocent_bystander,True,2025-10-01
ikbal125@okhdfcbank,3518771781,HDFC0751278,Ikbal Saraf,HDFC Bank,individual,dev-c416915b92cb,,True,2024-05-21
dipta126@kotak,75871044275,KKBK0747990,Dipta Sarin,Kotak Mahindra Bank,individual,dev-671ce81b64a1,,True,2024-04-14
lekha127@okicici,1243372971,ICIC0313846,Lekha Gupta,ICICI Bank,individual,dev-1738fd2e2c81,,True,2024-04-05
chaitanya128@cnrb,2570934660869464,CNRB0889779,Chaitanya Sarin,Canara Bank,individual,dev-155717d5cf8c,account_takeover,True,2024-06-13
zinal129@cnrb,4444445756891,CNRB0712925,Zinal Yohannan,Canara Bank,individual,dev-573ea539cf3c,,True,2023-10-13
januja130@cnrb,131472866943956,CNRB0296299,Januja Sankar,Canara Bank,individual,dev-41de2637d602,,True,2025-07-18
narayanan131@barodampay,066171289299,BARB0769407,Narayanan PLC Travel,Bank of Baroda,merchant,dev-c6abda23b6c5,,True,2025-11-02
jeet132@barodampay,52049462776,BARB0771849,Jeet Mital,Bank of Baroda,individual,dev-08b72d940a73,,True,2026-06-03
nilima133@barodampay,98022857870,BARB0140334,Nilima Narain,Bank of Baroda,individual,dev-28192e6592f3,account_takeover,True,2023-07-21
chakrika134@cnrb,4478567619,CNRB0164810,Chakrika Datta,Canara Bank,individual,dev-5b926e696ef4,,True,2024-01-22
osha135@kotak,90441211442217,KKBK0211754,Osha Raghavan,Kotak Mahindra Bank,individual,dev-4ecb58e8296f,,True,2026-07-09
charvi136@ybl,09549248632,YESB0035116,Charvi Ravi,Yes Bank,individual,dev-b800c615b400,innocent_bystander,True,2023-11-23
daksha137@okhdfcbank,250885306,HDFC0537671,Daksha Mangat,HDFC Bank,individual,dev-8f308dc211b9,,True,2024-03-04
qushi138@okhdfcbank,08159708176241,HDFC0986784,Qushi Nagy,HDFC Bank,individual,dev-fcc0033ddb8a,,True,2023-11-10
riya139@pnb,997277262571,PUNB0336952,Riya Sathe,Punjab National Bank,individual,dev-5f5794cbeaaf,,True,2026-02-11
yasti140@idfcfirst,3664092054680257,IDFB0600643,Yasti Solanki,IDFC First Bank,individual,dev-cd13fe61b2f9,,True,2024-01-04
frado141@idfcfirst,262698904297356,IDFB0495605,Frado Mander,IDFC First Bank,individual,dev-73256f795e3d,,True,2024-04-15
girik142@cnrb,980375258277,CNRB0885705,Girik Keer,Canara Bank,individual,dev-9ae5454cd9d8,,True,2023-08-19
umang143@cnrb,039471637951,CNRB0476133,Umang Issac,Canara Bank,individual,dev-1a0f841f828b,,True,2024-04-11
aryan144@oksbi,395112919,SBIN0678013,Aryan Batra,State Bank of India,individual,dev-987901ec1e93,,True,2026-03-16
vaishnavi145@okaxis,300900015,UTIB0827254,Vaishnavi Bora,Axis Bank,individual,dev-20eb21bc729f,,True,2023-12-09
oeshi146@kotak,597447314014,KKBK0796571,Oeshi Hayer,Kotak Mahindra Bank,individual,dev-5dfa0ac8a67b,,True,2026-03-09
warda147@cnrb,6688087237246691,CNRB0295019,Warda Ratta,Canara Bank,individual,dev-370d21fc9e17,,True,2026-01-24
manbir148@okicici,6913666566,ICIC0074070,Manbir Ahluwalia,ICICI Bank,individual,dev-a91d54c0c607,,True,2025-05-28
sandal149@idfcfirst,728845079454,IDFB0082644,Sandal and Sons Food & Dining,IDFC First Bank,merchant,dev-0eeea59e15aa,,True,2024-07-13
zarna150@idfcfirst,1045645934549,IDFB0962199,Zarna Shetty,IDFC First Bank,individual,dev-ede55b83a7fa,,True,2025-06-19
zaid151@okhdfcbank,43757702591199,HDFC0167364,Zaid Dara,HDFC Bank,individual,dev-f953d666826d,,True,2023-10-29
kiaan152@okaxis,2299517483,UTIB0998828,Kiaan Shetty,Axis Bank,individual,dev-e6c597cecd80,innocent_bystander,True,2024-10-10
saanvi153@barodampay,909153678493235,BARB0668159,Saanvi Thaman,Bank of Baroda,individual,dev-28cf34d5873c,,True,2024-04-30
sanaya154@okaxis,5792036505155644,UTIB0678573,Sanaya Dutt,Axis Bank,individual,dev-a8e0c9bf6419,,True,2024-11-20
soman155@okaxis,4021795109311268,UTIB0275031,"Soman, Sengupta and Lad Fuel",Axis Bank,merchant,dev-5c06efaf245a,,True,2024-02-08
aradhana156@ybl,156246430,YESB0451875,Aradhana Verma,Yes Bank,individual,dev-e52b81cdbe42,,False,2023-08-09
william157@ybl,6182861715998453,YESB0920958,William Maharaj,Yes Bank,individual,dev-9cef2b7a8d4a,,True,2025-04-28
brahmbhattmangal158@okaxis,03456266758,UTIB0221603,Brahmbhatt-Mangal Grocery,Axis Bank,merchant,dev-495a32b65576,,True,2024-08-06
anita159@okhdfcbank,8254140118,HDFC0567417,Anita Nayak,HDFC Bank,individual,dev-30cdf9ec9fc0,,True,2025-08-16
zachariahbuch160@okicici,0877919291570,ICIC0066705,Zachariah-Buch Food & Dining,ICICI Bank,merchant,dev-edc88bd95e20,,True,2026-04-25
matthew161@barodampay,6770771854755,BARB0312214,Matthew Kashyap,Bank of Baroda,individual,dev-1b5189ed0f70,,True,2025-06-15
michael162@idfcfirst,45957029863187,IDFB0241699,Michael Kala,IDFC First Bank,individual,dev-2237ff96b78a,,True,2024-01-24
oeshi163@oksbi,1406683304477,SBIN0140252,Oeshi Reddy,State Bank of India,individual,dev-19c8fd48ecd3,,True,2025-08-14
unnati164@okaxis,892611386421211,UTIB0687533,Unnati Sagar,Axis Bank,individual,dev-5a88f821c79a,,True,2024-06-28
jhaveri165@okicici,224066333671,ICIC0413318,Jhaveri Group Fuel,ICICI Bank,merchant,dev-aae9860389a6,,True,2025-08-11
anmol166@okicici,852510657384710,ICIC0782820,Anmol Rai,ICICI Bank,individual,dev-351c80d5ac67,,True,2025-11-01
abeer167@okicici,756299970349551,ICIC0793720,Abeer Pandey,ICICI Bank,individual,dev-03d4165655ec,gambling_network,False,2025-10-31
madhavi168@idfcfirst,041924012079927,IDFB0504063,Madhavi Saini,IDFC First Bank,individual,dev-294fbd0b1f3b,,True,2023-11-06
vinaya169@cnrb,2857814124883359,CNRB0976527,Vinaya Kanda,Canara Bank,individual,dev-34370d3a845e,,True,2025-01-17
sarinsunder170@kotak,4156325343,KKBK0303464,Sarin-Sunder Fuel,Kotak Mahindra Bank,merchant,dev-ee0a7db7396d,,True,2025-03-25
lopa171@kotak,0943705451926,KKBK0747110,Lopa Nayar,Kotak Mahindra Bank,individual,dev-4a520f586af3,,True,2023-09-16
noah172@okicici,769435115857,ICIC0177912,Noah Sibal,ICICI Bank,individual,dev-3c460b7327bd,,False,2025-05-11
avi173@barodampay,1723280322193439,BARB0339007,Avi Ramesh,Bank of Baroda,individual,dev-76cb7857d3d1,,True,2024-05-01
bala174@okicici,759307077848141,ICIC0766875,"Bala, Chacko and Sangha Electronics",ICICI Bank,merchant,dev-9d8cdab6a725,,True,2024-05-31
triya175@kotak,61067778658,KKBK0348026,Triya Gopal,Kotak Mahindra Bank,individual,dev-efe00e1936a4,,True,2023-10-28
lad176@okicici,3840812889473750,ICIC0417743,Lad Group Fashion,ICICI Bank,merchant,dev-47eabc77e326,,True,2024-11-19
siddharth177@cnrb,4489269074958,CNRB0166014,Siddharth Sha,Canara Bank,individual,dev-42ec60244b58,,True,2024-08-05
geetika178@pnb,1991353720351,PUNB0815901,Geetika Raghavan,Punjab National Bank,individual,dev-13bd22035778,innocent_bystander,True,2024-06-13
oviya179@oksbi,928212315374,SBIN0442656,Oviya Krishnan,State Bank of India,individual,dev-c61b937844b5,innocent_bystander,True,2025-07-12
upma180@cnrb,47990815969,CNRB0344334,Upma Bahl,Canara Bank,individual,dev-9852915035dd,,True,2024-11-27
inaya181@okaxis,8247605016,UTIB0102547,Inaya Kapur,Axis Bank,individual,dev-45bec9562f1c,,True,2024-06-18
banjeet182@barodampay,41839385428043,BARB0543391,Banjeet Balasubramanian,Bank of Baroda,individual,dev-d5242a41bbb4,gambling_network,True,2026-03-17
ryan183@okaxis,23659703252925,UTIB0122911,Ryan Bahri,Axis Bank,individual,dev-757ee8e85604,,True,2024-06-17
william184@cnrb,84004501770507,CNRB0834073,William Date,Canara Bank,individual,dev-267f8edef7fc,,True,2026-07-06
ishwar185@barodampay,000572187644018,BARB0339023,Ishwar Kamdar,Bank of Baroda,individual,dev-e7e65cb465c6,,True,2025-04-24
kundapillay186@kotak,221917562362600,KKBK0728481,Kunda-Pillay Home Services,Kotak Mahindra Bank,merchant,dev-cdede39d1388,,False,2025-09-03
ishwar187@idfcfirst,4248403755,IDFB0431150,Ishwar Gade,IDFC First Bank,individual,dev-698ef34aba87,,True,2026-05-21
hritik188@ybl,173122117,YESB0824522,Hritik Bal,Yes Bank,individual,dev-6fc70c7f5b0d,,True,2023-10-11
prashadranganathan189@idfcfirst,23932111544,IDFB0832146,Prashad-Ranganathan Grocery,IDFC First Bank,merchant,dev-af9a97942f32,,True,2024-09-30
issac190@okaxis,8835560316,UTIB0069138,"Issac, Borra and Kibe Utilities",Axis Bank,merchant,dev-757c5784f266,,True,2024-10-28
charvi191@oksbi,80030805872457,SBIN0426244,Charvi Dara,State Bank of India,individual,dev-6521f848968f,,True,2023-09-27
idika192@ybl,8902408169672,YESB0827469,Idika Walia,Yes Bank,individual,dev-afb7276be0c0,gambling_network,True,2026-07-05
kamala193@okaxis,72830188265,UTIB0133786,Kamala Biswas,Axis Bank,individual,dev-a7f6b573ecc3,,True,2024-10-28
advik194@kotak,027192037,KKBK0106652,Advik Salvi,Kotak Mahindra Bank,individual,dev-148f6512be96,,True,2023-12-29
hitesh195@pnb,199231513,PUNB0555255,Hitesh Sant,Punjab National Bank,individual,dev-22dca19c43a0,,True,2025-03-23
tripti196@kotak,2557283595,KKBK0681895,Tripti Dua,Kotak Mahindra Bank,individual,dev-56a19be8dfc1,,True,2026-03-21
patrick197@idfcfirst,295108971017,IDFB0765321,Patrick Vig,IDFC First Bank,individual,dev-c3347dd6beb3,,True,2024-12-31
veda198@okhdfcbank,627088785439619,HDFC0059204,Veda Shroff,HDFC Bank,individual,dev-d1d36796ca70,,True,2023-09-30
amrita199@barodampay,0265348500448575,BARB0345279,Amrita Naidu,Bank of Baroda,individual,dev-dc0947a85bf2,,True,2024-09-05
gabriel200@cnrb,0671128598563,CNRB0090408,Gabriel Mallick,Canara Bank,individual,dev-cbac1366c654,,True,2025-12-08
yagnesh201@ybl,5237488073523307,YESB0143007,Yagnesh Shetty,Yes Bank,individual,dev-c65234604c19,,True,2026-01-08
gayathri202@okaxis,1230883878851969,UTIB0959096,Gayathri Balakrishnan,Axis Bank,individual,dev-59e2e92f5885,,True,2025-01-20
ekta203@idfcfirst,5627864106679487,IDFB0277198,Ekta Gopal,IDFC First Bank,individual,dev-2dd359d877b6,innocent_bystander,True,2026-03-11
